Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aad9,sat4,0.034851848,0.003853413,0.025279439,0.044424256,1.354940947,0.119569966,1.057912686,1.651969208
sat4,blaCDD_2,0.135420607,0.005902784,0.12075728,0.150083934,1.354439099,0.08823358,1.135254736,1.573623463
sat4,aad9,0.061800628,0.014144269,0.026664317,0.096936939,1.344665298,0.11384929,1.061847983,1.627482613
vanS_Cd,aac6p_Ie_aph2pp_Ia,0.061132968,0.022892957,0.00426371,0.118002225,1.338378239,0.211996784,0.811749033,1.865007445
gyrB_I139R,aac6p_Ie_aph2pp_Ia,0.071950474,0.029691088,-0.001806278,0.145707226,1.325570489,0.139156546,0.979886466,1.671254512
blaCDD,aac6p_Ie_aph2pp_Ia,0.055794961,0.0187624,0.009186577,0.102403345,1.322462029,0.115316231,1.03600063,1.608923428
vanR_Cd,cfrC,0.025287513,0.006392995,0.009406434,0.041168593,1.320479838,0.211378437,0.795386692,1.845572983
gyrA_T82I,vanZ1,0.963839848,0.003721942,0.954594032,0.973085664,1.317756661,0.073000293,1.13641388,1.499099443
aac6p_Ie_aph2pp_Ia,spw,0.056229579,0.018638049,0.009930098,0.10252906,1.31603082,0.243433012,0.711309695,1.920751944
spw,rpoB_H502N,0.037487811,0.014985197,0.000262518,0.074713104,1.315562414,0.104639193,1.055624248,1.57550058
spw,aac6p_Ie_aph2pp_Ia,0.069486981,0.016604045,0.028240246,0.110733715,1.313223999,0.240978934,0.714599143,1.911848856
rpoB_H502N,spw,0.056080467,0.012915192,0.023997352,0.088163582,1.311557007,0.112560466,1.031941308,1.591172706
cfrC,aph2pp_If,0.024642267,0.004630448,0.013139597,0.036144937,1.303431032,0.31306846,0.525725864,2.0811362
aph2pp_If,cfrC,0.029096926,0.003926278,0.019343511,0.038850341,1.301582738,0.310812033,0.529482846,2.073682629
aac6p_Ie_aph2pp_Ia,gyrB_I139R,0.159009255,0.008476625,0.137952151,0.180066359,1.297538636,0.134398312,0.96367472,1.631402553
rpoB_R505K,gyrB_D426V,0.027325934,0.01407551,-0.007639571,0.062291439,1.293482604,0.130816906,0.968515396,1.618449813
rpoB_H502N,aph3p_IIIa,0.031110187,0.00352289,0.022358842,0.039861532,1.29084197,0.451878762,0.168312896,2.413371044
aph3p_IIIa,rpoB_H502N,0.035265962,0.012317552,0.004667466,0.065864459,1.287924358,0.44548742,0.181272258,2.394576458
blaCDD_1,cfrB,0.024883064,0.013423849,-0.008463625,0.058229753,1.283671201,0.215178376,0.749138482,1.81820392
cfrB,blaCDD_1,0.042257412,0.010755399,0.015539519,0.068975304,1.279377906,0.211489117,0.754009815,1.804745998
gyrB_D426V,rpoB_R505K,0.0900558,0.00535766,0.076746636,0.103364964,1.272998828,0.118374151,0.978941135,1.567056522
spw,dfrF,0.045702288,0.013412287,0.012384319,0.079020258,1.272216116,0.172681856,0.843250606,1.701181626
dfrF,spw,0.054579215,0.016231088,0.014258958,0.094899471,1.269607217,0.17252919,0.841020951,1.698193483
gyrB_S366A,gyrB_I139R,0.152731786,0.006919041,0.135543934,0.169919638,1.266404319,0.161917405,0.864179188,1.66862945
gyrB_I139R,gyrB_S366A,0.149699308,0.033460085,0.06657985,0.232818767,1.266285811,0.162835888,0.861779041,1.670792582
blaCDD_1,vanG,0.813159419,0.012940132,0.781014348,0.84530449,1.255607478,0.024006008,1.195973248,1.315241708
blaCDD_1,vanT_Cd,0.813159419,0.012940132,0.781014348,0.84530449,1.255607478,0.024006008,1.195973248,1.315241708
gyrB_I139R,rpoB_R505K,0.086629709,0.004346587,0.075832189,0.097427229,1.254000138,0.015381519,1.215790327,1.292209948
tetM,gyrB_S366A,0.142240655,0.016781223,0.100553786,0.183927524,1.24520648,0.234432853,0.662842988,1.827569972
gyrB_S366A,aph3p_IIIa,0.029960222,0.011967823,0.000230502,0.059689942,1.244967113,0.542030756,-0.10151193,2.591446156
spw,aph2pp_If,0.02369852,0.005748607,0.009418189,0.03797885,1.240367973,0.242424209,0.638152854,1.842583092
